canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_value,value,IC50_nM,pIC50
CC#CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1c(C#N)cnc3ccccc13)c(=O)n2C,CHEMBL1951614,=,=,2.0,2.0,2.0,8.698970004336019
N[C@H]1CN(c2ccc(-n3ccc(OCc4ccccc4)cc3=O)cn2)C[C@@H]1c1cc(F)ccc1F,CHEMBL2011528,=,=,1650.0,1.65,1650.0,5.782516055786093
N[C@H]1CN(c2ccc(-n3ccc(OCc4ccccc4)cc3=O)cn2)C[C@@H]1c1cc(F)c(F)cc1F,CHEMBL2011534,=,=,1100.0,1.1,1100.0,5.958607314841775
N[C@H]1CN(c2ccc(-n3ccc(OCc4ccccc4)cc3=O)cn2)CC[C@@H]1c1cc(F)c(F)cc1F,CHEMBL2011535,=,=,350.0,0.35,350.0,6.455931955649724
CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL67279,=,=,22.0,0.022,22.0,7.657577319177793
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,CHEMBL1422,=,=,40.0,0.04,40.0,7.3979400086720375
N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,CHEMBL142703,=,=,120.0,0.12,120.0,6.920818753952375
N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccc(-c2cccs2)cc1,CHEMBL2022512,=,=,13100.0,13.1,13100.0,4.882728704344236
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,CHEMBL376359,=,=,3.4,3.4,3.4,8.468521082957745
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2c(Br)c[nH]c2c1=O,CHEMBL2023067,=,=,1.4,1.4,1.4,8.853871964321762
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2[nH]c(-c3cccnc3)cc2c1=O,CHEMBL2023066,=,=,2.34,2.34,2.34,8.630784142589857
Cc1cc2c(=O)n(Cc3ccccc3C#N)c(N3CCC[C@@H](N)C3)nc2[nH]1,CHEMBL2022464,=,=,13.78,13.78,13.78,7.8607507824283935
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2[nH]c(Br)cc2c1=O,CHEMBL2022467,=,=,2.64,2.64,2.64,8.578396073130168
O=C([C@@H]1C[C@H](N2CCN(c3ccc([N+](=O)[O-])cn3)CC2)CN1)N1CCSC1,CHEMBL399610,=,=,0.92,0.92,0.92,9.036212172654444
O=C([C@@H]1C[C@H](N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)CN1)N1CCSC1,CHEMBL391466,=,=,1.6,1.6,1.6,8.795880017344075
O=C([C@@H]1C[C@H](N2CCN(c3nccc4ccccc34)CC2)CN1)N1CCSC1,CHEMBL2058973,=,=,0.61,0.61,0.61,9.214670164989233
O=C([C@@H]1C[C@H](N2CCN(c3ncc(Cl)c4ccccc34)CC2)CN1)N1CCSC1,CHEMBL2058974,=,=,0.73,0.73,0.73,9.136677139879545
N#Cc1cnc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)c2ccccc12,CHEMBL2058975,=,=,0.51,0.51,0.51,9.292429823902063
O=C([C@@H]1C[C@H](N2CCN(c3ccc4ccccc4n3)CC2)CN1)N1CCSC1,CHEMBL2058968,=,=,2.2,2.2,2.2,8.657577319177793
O=C([C@@H]1C[C@H](N2CCN(c3ccnc4ccccc34)CC2)CN1)N1CCSC1,CHEMBL2058969,=,=,0.95,0.95,0.95,9.022276394711152
Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)c2ccccc2n1,CHEMBL2058970,=,=,0.56,0.56,0.56,9.2518119729938
O=C([C@@H]1C[C@H](N2CCN(c3cc(C(F)(F)F)nc4ccccc34)CC2)CN1)N1CCSC1,CHEMBL2058971,=,=,0.37,0.37,0.37,9.431798275933005
O=C([C@@H]1C[C@H](N2CCN(c3ccnc4cc(Cl)ccc34)CC2)CN1)N1CCSC1,CHEMBL2058972,=,=,0.61,0.61,0.61,9.214670164989233
O=C([C@@H]1C[C@H](N2CCN(c3ccnc4cc(C(F)(F)F)ccc34)CC2)CN1)N1CCSC1,CHEMBL2058759,=,=,1.6,1.6,1.6,8.795880017344075
O=C([C@@H]1C[C@H](N2CCN(c3nc4ccccc4[nH]3)CC2)CN1)N1CCSC1,CHEMBL2058760,=,=,0.8,0.8,0.8,9.096910013008056
O=C([C@@H]1C[C@H](N2CCN(c3nc4cc(Cl)ccc4[nH]3)CC2)CN1)N1CCSC1,CHEMBL2058761,=,=,0.59,0.59,0.59,9.229147988357855
N#Cc1ccc2[nH]c(N3CCN([C@@H]4CN[C@H](C(=O)N5CCSC5)C4)CC3)nc2c1,CHEMBL2058762,=,=,0.39,0.39,0.39,9.4089353929735
O=C([C@@H]1C[C@H](N2CCN(c3nc4ccccc4o3)CC2)CN1)N1CCSC1,CHEMBL2058967,=,=,1.2,1.2,1.2,8.920818753952375
N#Cc1ccc2oc(N3CCN([C@@H]4CN[C@H](C(=O)N5CCSC5)C4)CC3)nc2c1,CHEMBL2058756,=,=,0.5,0.5,0.5,9.301029995663981
O=C([C@@H]1C[C@H](N2CCN(c3nc4ccccc4s3)CC2)CN1)N1CCSC1,CHEMBL2058757,=,=,0.55,0.55,0.55,9.259637310505756
N#Cc1ccc2sc(N3CCN([C@@H]4CN[C@H](C(=O)N5CCSC5)C4)CC3)nc2c1,CHEMBL2058758,=,=,0.42,0.42,0.42,9.3767507096021
C[C@H](N)C(=O)N1C[C@@H](O)C[C@H]1B(O)O,CHEMBL2063024,=,=,2.3,2.3,2.3,8.638272163982407
C[C@H](N)C(=O)N1C[C@H](O)C[C@H]1B(O)O,CHEMBL2063025,=,=,23.0,23.0,23.0,7.638272163982407
C[C@H](N)C(=O)N1C[C@H](F)C[C@H]1B(O)O,CHEMBL2063026,=,=,2.1,2.1,2.1,8.67778070526608
C[C@H](N)C(=O)N1CC(=O)C[C@H]1B(O)O,CHEMBL2063027,=,=,200.0,200.0,200.0,6.698970004336019
C[C@H](N)C(=O)N1C[C@@H](Cl)C[C@H]1B(O)O,CHEMBL2063028,=,=,18000.0,18.0,18000.0,4.7447274948966935
N[C@@H](CCC(=O)O)C(=O)N1C[C@@H](O)C[C@H]1B(O)O,CHEMBL2063029,=,=,29.0,29.0,29.0,7.537602002101044
N[C@@H](CCC(=O)O)C(=O)N1C[C@H](O)C[C@H]1B(O)O,CHEMBL2063030,=,=,17.0,17.0,17.0,7.769551078621726
CC(C)(C)[C@H](N)C(=O)N1C[C@@H](O)C[C@H]1B(O)O,CHEMBL2063031,=,=,53.0,53.0,53.0,7.275724130399211
CC(C)(C)[C@H](N)C(=O)N1C[C@H](O)C[C@H]1B(O)O,CHEMBL2063032,=,=,59.0,59.0,59.0,7.229147988357855
O=C([C@@H]1CCCN1)N1C[C@@H](O)C[C@H]1B(O)O,CHEMBL2063033,=,=,6.2,6.2,6.2,8.207608310501746
O=C([C@@H]1CCCN1)N1C[C@H](O)C[C@H]1B(O)O,CHEMBL2063034,=,=,6.5,6.5,6.5,8.187086643357144
O=C([C@@H]1C[C@@H](O)CN1)N1C[C@@H](O)C[C@H]1B(O)O,CHEMBL2063035,=,=,20.0,20.0,20.0,7.698970004336019
O=C([C@@H]1C[C@@H](O)CN1)N1C[C@H](O)C[C@H]1B(O)O,CHEMBL2063036,=,=,48.0,48.0,48.0,7.318758762624412
O=C([C@@H]1C[C@H](O)CN1)N1C[C@@H](O)C[C@H]1B(O)O,CHEMBL2063037,=,=,15.0,15.0,15.0,7.823908740944319
O=C([C@@H]1C[C@H](O)CN1)N1C[C@H](O)C[C@H]1B(O)O,CHEMBL2063038,=,=,16.0,16.0,16.0,7.795880017344075
N[C@@H](CCCC(=O)O)C(=O)N1C[C@H](O)C[C@H]1B(O)O,CHEMBL2063039,=,=,17.0,17.0,17.0,7.769551078621726
N=C(N)NCCC[C@H](N)C(=O)N1C[C@@H](O)C[C@H]1B(O)O,CHEMBL2063040,=,=,0.3,0.3,0.3,9.522878745280337
C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL63860,=,=,0.46,0.46,0.46,9.337242168318426
